Code,Description
"10509","Bear Creek Airport"
"10510","Bacolod Airport"
"10511","Bryce Canyon Airport"
"10512","Cakung"
"10513","Barcaldine Airport"
"10514","Baca Grande"
"10515","Barra del Colorado Airport"
"10516","George Enescu Bacau International"
"10517","Barcelona Airport"
"10518","Southern Seaplane"
"10519","Boca Raton Public"
"10520","Bulchi Airport"
"10521","L. F. Wade International"
"10522","Bundaberg Airport"
"10523","Baudette International"
"10524","Blanding Municipal"
"10525","Bandar Lengeh Airport"
"10526","Bird Island Airport"
"10527","Syamsudin Noor"
"10528","Bondoukou/Soko"
"10529","Bradley International"
"10530","Bandirma Airport"
"10531","Talhar"
"10532","Husein Sastranegara"
"10533","Chandragadhi"
"10534","Vadodara Airport"
"10535","Igor I Sikorsky Memorial"
"10536","Brindisi Airport"
"10537","Bardufoss Airport"
"10538","Bandon State"
"10539","Benbecula Airport"
"10540","Laurence G Hanscom Field"
"10541","Bluefields Airport"
"10542","Beograd"
"10543","Southwest Michigan Regional"
"10544","Beica Airport"
"10545","Val de Cans International"
"10547","Benina International"
"10548","Lake Macquarie"
"10549","Berlin Metropolitan Area"
"10550","Brest Bretagne"
"10551","Bethel Airport"
"10552","Bedourie North"
"10553","Teyman"
"10554","Beira Airport"
"10555","Rafic Hariri International"
"10556","Blue Fox Bay Airport"
"10557","Bradford Regional"
"10558","Western Neb. Regional/William B. Heilig Field"
"10559","Boeing Field/King County International"
"10560","Buckley AFB"
"10561","Meadows Field"
"10562","Mobile Downtown"
"10563","Bram Fischer International"
"10564","Buffalo Range Airport"
"10565","Beaver County"
"10566","Bahia de Pinas Airport"
"10567","Virgil I Grissom Municipal"
"10568","Belfast Aldergrove"
"10569","Beaufort County"
"10570","Palonegro"
"10571","Booue Airport"
"10572","Hutchinson County"
"10573","Decatur County Industrial Air Park"
"10574","Bangui-M'Poko"
"10575","Grantley Adams International"
"10576","Baglung Airport"
"10577","Greater Binghamton/Edwin A. Link Field"
"10578","Bruggen Airport"
"10579","Flesland"
"10580","Big Lake Airport"
"10581","Bangor International"
"10582","Big Spring McMahon-Wrinkle"
"10583","Bagdad Airport"
"10584","Bangassou Airport"
"10585","Al Muthana"
"10586","Comandante Gustavo Kraemer"
"10587","Bergamo Orio Al Serio"
"10588","Isa AB"
"10589","Hancock County-Bar Harbor"
"10590","Laughlin/Bullhead International"
"10591","Belfast City"
"10592","Woodbourne"
"10593","Araslaya"
"10594","Bisha Airport"
"10595","Comandante Espora"
"10596","Bhuj Airport"
"10597","Bukhara Airport"
"10598","Bahia de Los Angeles North"
"10599","Birmingham-Shuttlesworth International"
"10600","Beihan Airport"
"10601","Raja Bhoj"
"10602","Broken Hill Airport"
"10603","Bharatpur Airport"
"10604","Bathurst Airport"
"10605","Brighton Downs Airport"
"10606","Bhavnagar Airport"
"10607","Bahawalpur International"
"10608","Birmingham Airport"
"10609","Beihai Airport"
"10610","Belo Horizonte Metropolitan Area"
"10611","Bastia Poretta"
"10612","Big Creek Airport"
"10613","Block Island State"
"10614","Beatrice Municipal"
"10615","Biggs AAF"
"10616","Allen AAF"
"10617","Bishop Airport"
"10618","Bikini Atoll Airport"
"10619","Manuhua"
"10620","Billings Logan International"
"10621","Bimini International"
"10622","Bamyan Airport"
"10623","Bilbao Airport"
"10624","Bulimba Airport"
"10625","Biarritz Pays Basque"
"10626","Biratnagar Airport"
"10627","Bismarck Municipal"
